Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link
Laptop,Lenovo,"Lenovo LOQ 15IRX10 83JE00EWTR i7-13650HX 24 GB 1 TB SSD 8 GB RTX5070 15.6"" Free Dos Dizüstü Bilgisayar",66999,0,https://www.n11.com/urun/lenovo-loq-15irx10-83je00ewtr-i7-13650hx-24-gb-1-tb-ssd-8-gb-rtx5070-156-free-dos-dizustu-bilgisayar-107943492
Laptop,Game,"Game Garaj Slayer5 9XL-5070TI C3 Ultra 9 275HX 64 GB 2 TB SSD RTX5070Ti 17"" Free Dos Dizüstü Bilgisayar + Çanta",112124.03,1,https://www.n11.com/urun/game-garaj-slayer5-9xl-5070ti-c3-ultra-9-275hx-64-gb-2-tb-ssd-rtx5070ti-17-free-dos-dizustu-bilgisayar-canta-83594559
Laptop,Dell,"Dell Inspiron 3530 I35301018TU i7-1335U 16 GB 1 TB 15.6"" Ubuntu Touch Dizüstü Bilgisayar",31999,1,https://www.n11.com/urun/dell-inspiron-3530-i35301018tu-i7-1335u-16-gb-1-tb-156-ubuntu-touch-dizustu-bilgisayar-65564554
Laptop,MSI,"MSI Crosshair 16 HX AI D2XWGKG-047XTR U9-275HX 32 GB 1 TB SSD 8 GB RTX5070 16"" Dos Dizüstü Bilgisayar",101594.03,0,https://www.n11.com/urun/msi-crosshair-16-hx-ai-d2xwgkg-047xtr-u9-275hx-32-gb-1-tb-ssd-8-gb-rtx5070-16-dos-dizustu-bilgisayar-82838514
Laptop,Lenovo,"Lenovo V15 G4 IRU 83A10096TR i5-13420H 8 GB 512 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar",23990.40,55,https://www.n11.com/urun/lenovo-v15-g4-iru-83a10096tr-i5-13420h-8-gb-512-gb-ssd-156-free-dos-fhddizustu-bilgisayar-52917301
Laptop,Apple,"Apple MacBook Air MW123TU/A M4 16 GB 256 GB SSD 13.6"" macOS Dizüstü Bilgisayar",45119.06,16,https://www.n11.com/urun/apple-macbook-air-mw123tua-m4-16-gb-256-gb-ssd-136-macos-dizustu-bilgisayar-75065213
Laptop,Apple,"Apple Macbook Air MC6A4TU/A M4 24 GB 512 GB SSD 13.6"" macOS Dizüstü Bilgisayar",68243.06,0,https://www.n11.com/urun/apple-macbook-air-mc6a4tua-m4-24-gb-512-gb-ssd-136-macos-dizustu-bilgisayar-96900139
Laptop,Lenovo,"Lenovo Ideapad Slim 5 83HR0070TR i5-13420H 16 GB 512 GB SSD 14"" Free Dos Dizüstü Bilgisayar",26899,1,https://www.n11.com/urun/lenovo-ideapad-slim-5-83hr0070tr-i5-13420h-16-gb-512-gb-ssd-14-free-dos-dizustu-bilgisayar-96514262
Laptop,Acer,"Acer Nitro V 15 ANV15-51-51TZ NH.QNBEY.006 i5-13420H 8 GB 512 GB SSD RTX4050 15.6"" W11H Dizüstü Bilgisayar",37999,0,https://www.n11.com/urun/acer-nitro-v-15-anv15-51-51tz-nhqnbey006-i5-13420h-8-gb-512-gb-ssd-rtx4050-156-w11h-dizustu-bilgisayar-66584497
Laptop,Hp,"Hp Victus 16-R1012NT 9J1K2EA i7-14700HX 32 GB 1 TB SSD RTX4070 16.1"" Dos QHD Dizüstü Bilgisayar",71750.66,3,https://www.n11.com/urun/hp-victus-16-r1012nt-9j1k2ea-i7-14700hx-32-gb-1-tb-ssd-rtx4070-161-dos-qhd-dizustu-bilgisayar-48328252
Laptop,Game,"Game Garaj Slayer R9T-5060 C1 R9-8945HX 32 GB 1 TB SSD RTX5060 16"" Dos Dizüstü Bilgisayar",66299.03,0,https://www.n11.com/urun/game-garaj-slayer-r9t-5060-c1-r9-8945hx-32-gb-1-tb-ssd-rtx5060-16-dos-dizustu-bilgisayar-82576853
Laptop,Casper,"Casper Nirvana C370.4020-4C00B N4020 4 GB 120 GB SSD 15.6"" W11H HD Dizüstü Bilgisayar",10601.07,3,https://www.n11.com/urun/casper-nirvana-c3704020-4c00b-n4020-4-gb-120-gb-ssd-156-w11h-hd-dizustu-bilgisayar-24511038
